Marca;Modelo;Combustible;Transmisión;Estado;Año matricula;Kilometraje;Potencia;Precio
Citroen;C4 Cactus;Gasolina;Manual;Usado;09/2015;56811;110.0;9980.0
Dacia;Sandero;Diesel;Automática;Usado;08/2017;77496;90.0;9990.0
Dacia;Duster;Gasolina;Manual;Usado;04/2014;50116;105.0;9990.0
Nissan;Qashqai;Diesel;Manual;Usado;09/2012;88550;131.0;9990.0
Renault;Captur;Diesel;Manual;Usado;03/2014;63289;90.0;9990.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;9990.0
Nissan;Qashqai;Diesel;Automática;Usado;02/2012;68253;150.0;10249.0
Opel;Mokka;Gasolina;Manual;Usado;06/2016;73118;140.0;10290.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;10290.0
Dacia;Duster;Gasolina;Manual;Nuevo;09/2020;100;101.0;10290.0
Opel;Mokka X;Gasolina;Manual;Usado;10/2012;86240;140.0;10362.0
MINI;Cooper Countryman;Gasolina;Manual;Usado;06/2012;91696;122.0;10400.0
Opel;Mokka;Diesel;Manual;Usado;06/2014;99107;131.0;10480.0
Hyundai;iX35;Gasolina;Manual;Usado;01/2014;65405;135.0;10489.0
Hyundai;iX35;Gasolina;Manual;Usado;06/2013;65300;135.0;10490.0
Renault;Clio;Gasolina;Manual;Usado;07/2016;36300;73.0;8990.0
Hyundai;iX20;Gasolina;Manual;Usado;04/2014;48000;90.0;8990.0
Opel;Astra;Gasolina;Manual;Usado;09/2012;74775;140.0;8990.0
Ford;Focus;Gasolina;Manual;Usado;12/2017;52000;86.0;8990.0
Skoda;Rapid/Spaceback;Diesel;Manual;Usado;10/2014;96900;90.0;8990.0
Fiat;Panda;Gasolina;Manual;Nuevo;09/2020;10;69.0;8999.0
Hyundai;i40;Gasolina;Manual;Usado;04/2012;93300;135.0;9100.0
Dacia;Logan;Gasolina;Automática;Usado;05/2017;80000;90.0;9120.0
Hyundai;i40;Gasolina;Manual;Usado;09/2013;97500;135.0;9200.0
Volkswagen;Golf Variant;Diesel;Manual;Usado;07/2012;99750;140.0;9200.0
Volkswagen;Golf Variant;Diesel;Manual;Usado;11/2016;99728;110.0;9270.0
Audi;A4;Gasolina;Manual;Usado;04/2011;83370;120.0;9280.0
Dacia;Logan;Gasolina;Manual;Nuevo;09/2020;100;73.0;9290.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;05/2014;86600;99.0;9299.0
Skoda;Fabia;Diesel;Manual;Usado;06/2015;72300;90.0;9450.0
Ford;Focus;Gasolina;Manual;Usado;10/2011;83317;150.0;9490.0
Fiat;Panda;Gasolina;Manual;Nuevo;09/2020;10;69.0;9490.0
Ford;Focus;Gasolina;Manual;Usado;01/2014;80924;101.0;9490.0
Ford;Mondeo;Diesel;Manual;Usado;01/2014;100000;140.0;9490.0
Skoda;Rapid/Spaceback;Gasolina;Manual;Usado;09/2016;98983;90.0;9490.0
Ford;Fiesta;Gasolina;Manual;Usado;03/2014;54636;65.0;6490.0
Opel;Corsa;Gasolina;Manual;Usado;07/2012;83967;69.0;6490.0
Toyota;Aygo;Gasolina;Manual;Usado;02/2016;36200;69.0;6495.0
Opel;Karl;Gasolina;Manual;Usado;08/2015;60000;75.0;6499.0
Kia;Picanto;Gasolina;Manual;Usado;12/2015;53286;67.0;6499.0
Fiat;500;Gasolina;Manual;Usado;07/2016;41972;69.0;6550.0
Renault;Twingo;Gasolina;Manual;Usado;04/2015;42486;71.0;6590.0
Nissan;Micra;Gasolina;Manual;Usado;12/2016;91735;80.0;6590.0
Volkswagen;Golf;Gasolina;Manual;Usado;06/2012;99540;80.0;6689.0
SEAT;Ibiza;Gasolina;Manual;Usado;04/2015;54377;69.0;6690.0
Volkswagen;up!;Gasolina;Manual;Usado;02/2014;77716;60.0;6690.0
SEAT;Ibiza;Gasolina;Manual;Usado;12/2013;49300;69.0;6690.0
SEAT;Mii;Gasolina;Manual;Usado;04/2016;49100;75.0;6750.0
Hyundai;i30;Gasolina;Manual;Usado;02/2012;84880;109.0;6790.0
Dacia;Sandero;Gasolina;Manual;Usado;12/2018;58000;73.0;6799.0
Fiat;Punto;Gasolina;Manual;Usado;07/2016;72280;69.0;6850.0
Ford;Fiesta;Gasolina;Manual;Usado;12/2013;58180;82.0;6870.0
Opel;Astra;Gasolina;Manual;Usado;09/2011;73005;101.0;6879.0
Fiat;Bravo;Gasolina;Manual;Usado;06/2013;62550;90.0;6900.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;05/2017;41264;71.0;6900.0
Kia;Soul;Diesel;Manual;Usado;12/2014;80000;128.0;9290.0
Fiat;500L;Gasolina;Manual;Usado;06/2016;89329;95.0;9290.0
Renault;Clio;Gasolina;Manual;Usado;05/2017;57660;90.0;9380.0
Fiat;Qubo;Gasolina;Manual;Usado;11/2016;36012;77.0;9380.0
Volkswagen;Golf Plus;Diesel;Manual;Usado;12/2012;92790;105.0;9450.0
Dacia;Dokker;Gasolina;Manual;Usado;11/2015;59821;116.0;9460.0
Opel;Zafira;Gasolina;Manual;Usado;06/2012;55600;140.0;9490.0
Opel;Meriva;Diesel;Manual;Usado;07/2015;86152;136.0;9490.0
Dacia;Lodgy;Gasolina;Manual;Usado;04/2016;71560;116.0;9745.0
Ford;C-Max;Gasolina;Manual;Usado;11/2015;91590;101.0;9850.0
Renault;Scenic;Gasolina;Manual;Usado;10/2014;38000;132.0;9900.0
Ford;Grand C-Max;Diesel;Automática;Usado;08/2013;80760;140.0;9940.0
Ford;B-Max;Gasolina;Manual;Usado;08/2016;74450;125.0;9980.0
Citroen;C4 SpaceTourer;Diesel;Manual;Usado;10/2016;84879;120.0;9980.0
Ford;Tourneo Courier;Gasolina;Manual;Usado;04/2016;87300;101.0;9990.0
Ford;Galaxy;Diesel;Automática;Usado;10/2013;89985;140.0;9990.0
Renault;Scenic;Gasolina;Manual;Usado;07/2013;46358;132.0;9990.0
Ford;C-Max;Gasolina;Manual;Usado;02/2014;92707;150.0;9990.0
Fiat;500;Gasolina;Manual;Usado;02/2014;52209;120.0;9990.0
Ford;B-Max;Gasolina;Manual;Usado;12/2016;48148;101.0;9990.0
Hyundai;i10;Gasolina;Manual;Usado;01/2015;56500;67.0;6660.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;25280;69.0;6680.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;30143;69.0;6740.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2013;39400;60.0;6740.0
Renault;Twingo;Gasolina;Manual;Usado;09/2015;27750;71.0;6750.0
Hyundai;iX20;Gasolina;Manual;Usado;10/2012;94500;90.0;6750.0
Opel;Corsa;Gasolina;Manual;Usado;12/2014;63141;87.0;6770.0
Volkswagen;up!;Gasolina;Manual;Usado;02/2017;54161;60.0;6775.0
Hyundai;i20;Gasolina;Manual;Usado;06/2014;26400;86.0;6795.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2016;50773;60.0;6810.0
Volkswagen;up!;Gasolina;Manual;Usado;04/2016;34200;60.0;6880.0
Volkswagen;up!;Gasolina;Manual;Usado;08/2014;44100;75.0;6880.0
Volkswagen;Polo;Gasolina;Manual;Usado;08/2013;90500;86.0;6885.0
Opel;Corsa;Gasolina;Manual;Usado;11/2016;30130;69.0;6888.0
Hyundai;i10;Gasolina;Manual;Usado;04/2016;39100;67.0;6891.0
Mazda;2;Gasolina;Manual;Usado;07/2012;58800;84.0;6898.0
Ford;Fiesta;Gasolina;Manual;Usado;09/2014;52900;101.0;6900.0
Nissan;Micra;Gasolina;Manual;Usado;03/2017;76100;80.0;6900.0
Opel;Adam;Gasolina;Manual;Usado;05/2013;65950;69.0;6945.0
Dacia;Sandero;Gasolina;Manual;Usado;08/2012;66400;84.0;6945.0
Skoda;Fabia;Diesel;Manual;Usado;11/2013;95874;75.0;5895.0
Opel;Corsa;Gasolina;Manual;Usado;01/2014;98992;87.0;5899.0
Opel;Corsa;Gasolina;Manual;Usado;01/2014;98992;87.0;5899.0
Mazda;2;Gasolina;Manual;Usado;10/2010;40638;75.0;5900.0
Kia;Venga;Gasolina;Manual;Usado;05/2012;71234;90.0;5900.0
Volkswagen;Polo;Gasolina;Manual;Usado;02/2012;89900;69.0;5900.0
Volkswagen;up!;Gasolina;Manual;Usado;01/2016;57500;60.0;5910.0
Renault;Clio;Gasolina;Manual;Usado;04/2010;77300;75.0;5945.0
Opel;Corsa;Gasolina;Manual;Usado;05/2013;85900;87.0;5945.0
SEAT;Ibiza;Gasolina;Manual;Usado;05/2012;65712;69.0;5950.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;03/2016;41719;69.0;5970.0
Renault;Master;Diesel;Manual;Usado;08/2010;88000;120.0;5980.0
Renault;Master;Diesel;Manual;Usado;08/2010;88000;120.0;5980.0
smart;forTwo;Gasolina;Automática;Usado;01/2013;53495;71.0;5980.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;06/2017;54620;71.0;5989.0
Daihatsu;Materia;Gasolina;Automática;Usado;04/2010;95737;103.0;5990.0
Renault;Twingo;Gasolina;Manual;Usado;11/2014;52100;71.0;5990.0
Ford;;Gasolina;Manual;Usado;07/2014;48000;69.0;5990.0
Fiat;Punto;Gasolina;Manual;Usado;01/2015;25346;69.0;5990.0
Fiat;500;Gasolina;Manual;Usado;09/2014;90900;69.0;5990.0
Volkswagen;Passat CC;Gasolina;Automática;Usado;05/2014;32550;211.0;18989.0
Renault;Megane;Gasolina;Manual;Usado;03/2016;77785;273.0;18990.0
BMW;120;Gasolina;Automática;Usado;03/2017;32490;184.0;18990.0
BMW;420;Diesel;Automática;Usado;07/2015;88300;190.0;19490.0
BMW;220;Diesel;Manual;Usado;10/2014;78900;184.0;19495.0
Mercedes-Benz;C 250;Gasolina;Automática;Usado;02/2014;61000;204.0;19790.0
BMW;420;Diesel;Automática;Usado;05/2014;87490;184.0;19850.0
Chevrolet;Camaro;Gasolina;Manual;Usado;05/2011;19716;305.0;19880.0
Audi;TT;Gasolina;Automática;Usado;03/2013;72500;211.0;19980.0
Audi;A5;Diesel;Automática;Usado;05/2014;96476;177.0;19990.0
Volkswagen;Scirocco;Gasolina;Automática;Usado;07/2012;89812;265.0;19990.0
Volkswagen;Scirocco;Diesel;Manual;Usado;05/2017;60900;150.0;19990.0
Audi;A5;Gasolina;Manual;Usado;01/2017;57990;144.0;20890.0
Opel;Astra;Gasolina;Manual;Usado;09/2016;47500;280.0;21450.0
BMW;420;Diesel;Automática;Usado;05/2016;99400;190.0;21600.0
BMW;230;Gasolina;Automática;Usado;07/2017;56200;252.0;21750.0
Mercedes-Benz;CLS 350;Gasolina;Automática;Usado;11/2011;86246;306.0;21770.0
Opel;Mokka;Gasolina;Manual;Usado;10/2015;42100;116.0;10490.0
Kia;Sportage;Gasolina;Manual;Usado;12/2012;79978;135.0;10490.0
Hyundai;iX35;Gasolina;Manual;Usado;07/2013;95193;163.0;10490.0
Renault;Captur;Gasolina;Manual;Usado;06/2016;36059;90.0;10490.0
Fiat;Freemont;Diesel;Manual;Usado;01/2012;87127;170.0;10490.0
Renault;Captur;Gasolina;Manual;Usado;03/2016;46052;90.0;10580.0
Hyundai;iX35;Gasolina;Manual;Usado;12/2013;97300;135.0;10590.0
Nissan;Qashqai;Gasolina;Manual;Usado;10/2013;70500;117.0;10645.0
Kia;Sportage;Gasolina;Manual;Usado;05/2013;53800;135.0;10680.0
Opel;Mokka;Gasolina;Manual;Usado;09/2014;16300;116.0;10680.0
Ford;EcoSport;Gasolina;Manual;Usado;03/2016;57371;125.0;10690.0
Hyundai;iX35;Gasolina;Manual;Usado;09/2015;77500;135.0;10790.0
Opel;Mokka;Gasolina;Manual;Usado;06/2013;96530;140.0;10790.0
MINI;Cooper Countryman;Gasolina;Manual;Usado;01/2014;71690;122.0;10790.0
Nissan;Qashqai;Gasolina;Manual;Usado;06/2014;81700;116.0;10810.0
Hyundai;iX35;Diesel;Manual;Usado;07/2015;62180;116.0;10860.0
Ford;EcoSport;Diesel;Manual;Usado;02/2017;59615;95.0;10870.0
Opel;Mokka;Gasolina;Manual;Usado;04/2013;67740;140.0;10897.0
Nissan;Juke;Gasolina;Automática;Usado;09/2014;46500;117.0;10900.0
Ford;EcoSport;Gasolina;Manual;Usado;09/2015;43646;111.0;10900.0
Ford;Focus;Gasolina;Manual;Usado;11/2017;63235;101.0;9595.0
Renault;Megane;Diesel;Manual;Usado;05/2017;85451;110.0;9599.0
Ford;Focus;Gasolina;Manual;Usado;03/2013;98000;150.0;9650.0
Renault;Clio;Diesel;Manual;Usado;05/2018;46357;90.0;9689.0
Skoda;Octavia;Gasolina;Manual;Usado;02/2013;72140;105.0;9790.0
Ford;Focus;Gasolina;Manual;Usado;12/2016;43750;101.0;9850.0
Opel;Astra;Gasolina;Manual;Usado;10/2016;80728;105.0;9880.0
Skoda;Fabia;Gasolina;Manual;Usado;05/2016;57900;75.0;9880.0
Ford;Focus;Diesel;Manual;Usado;05/2018;80000;120.0;9890.0
Hyundai;i30;Gasolina;Manual;Usado;05/2016;34500;101.0;9900.0
Renault;Clio;Diesel;Manual;Usado;08/2017;58842;90.0;9900.0
Ford;Focus;Gasolina;Manual;Usado;09/2014;99850;125.0;9900.0
Volkswagen;Golf;Gasolina;Manual;Usado;01/2015;69027;86.0;9940.0
Hyundai;i30;Gasolina;Manual;Usado;07/2015;54102;135.0;9950.0
Ford;Focus;Gasolina;Manual;Usado;06/2017;47444;125.0;9950.0
Audi;A4;Gasolina;Automática;Usado;06/2010;82000;160.0;9950.0
Skoda;;Gasolina;Manual;Usado;09/2017;39600;90.0;9950.0
Opel;Zafira Tourer;Gasolina;Manual;Usado;07/2012;82000;120.0;9970.0
Skoda;Rapid/Spaceback;Gasolina;Manual;Usado;10/2016;30000;90.0;9970.0
Ford;Mondeo;Gasolina;Manual;Usado;03/2011;88000;145.0;9975.0
Ford;Focus;Gasolina;Manual;Usado;08/2014;52055;86.0;6980.0
Fiat;Grande Punto;Gasolina;Manual;Usado;09/2013;29210;69.0;6980.0
Opel;Astra;Gasolina;Manual;Usado;04/2012;96100;120.0;6980.0
Renault;Clio;Diesel;Manual;Usado;03/2013;85600;90.0;6980.0
Opel;Adam;Gasolina;Manual;Usado;07/2013;83872;69.0;6980.0
Hyundai;iX20;Gasolina;Manual;Usado;08/2013;73000;90.0;6990.0
Dacia;Sandero;Gasolina;Manual;Usado;06/2019;17000;73.0;6990.0
Hyundai;i10;Gasolina;Manual;Usado;11/2015;50000;67.0;6990.0
Citroen;C4;Gasolina;Manual;Usado;03/2013;78790;120.0;6990.0
Opel;Corsa;Diesel;Manual;Usado;03/2013;6700;75.0;6990.0
SEAT;Ibiza;Gasolina;Manual;Usado;02/2013;65384;86.0;6990.0
Ford;Fiesta;Gasolina;Manual;Usado;02/2014;55300;60.0;6990.0
Ford;Fiesta;Gasolina;Manual;Usado;04/2014;97828;101.0;6990.0
Mazda;2;Gasolina;Manual;Usado;06/2010;21400;86.0;6990.0
Citroen;C1;Gasolina;Manual;Usado;07/2017;20000;69.0;6990.0
Renault;ZOE;Gasolina;Manual;Usado;05/2016;60658;58.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;02/2016;33630;60.0;6990.0
BMW;116;Gasolina;Manual;Usado;11/2010;90000;122.0;6999.0
smart;forFour;Gasolina;Manual;Usado;04/2015;77197;90.0;6999.0
Toyota;Auris;Diesel;Manual;Usado;05/2010;50600;90.0;6999.0
Dacia;Dokker;Gasolina;Manual;Usado;11/2015;59821;116.0;9460.0
Opel;Meriva;Gasolina;Manual;Usado;03/2015;46524;101.0;9480.0
Opel;Zafira;Gasolina;Manual;Usado;06/2012;55600;140.0;9490.0
Opel;Meriva;Diesel;Manual;Usado;07/2015;86152;136.0;9490.0
Fiat;Doblo;Diesel;Manual;Usado;03/2017;33677;95.0;9690.0
Dacia;Lodgy;Gasolina;Manual;Usado;04/2016;71560;116.0;9745.0
Ford;C-Max;Gasolina;Manual;Usado;11/2015;91590;101.0;9850.0
Renault;Scenic;Gasolina;Manual;Usado;10/2014;38000;132.0;9900.0
Ford;Grand C-Max;Diesel;Automática;Usado;08/2013;80760;140.0;9940.0
Mercedes-Benz;Citan;Diesel;Manual;Usado;08/2016;77126;110.0;9980.0
Ford;B-Max;Gasolina;Manual;Usado;08/2016;74450;125.0;9980.0
Ford;B-Max;Gasolina;Manual;Usado;08/2016;74450;125.0;9980.0
Citroen;C4 SpaceTourer;Diesel;Manual;Usado;10/2016;84879;120.0;9980.0
Ford;Tourneo Courier;Gasolina;Manual;Usado;04/2016;87300;101.0;9990.0
Hyundai;iX20;Gasolina;Manual;Usado;10/2016;89513;90.0;9990.0
Ford;Galaxy;Diesel;Automática;Usado;10/2013;89985;140.0;9990.0
Renault;Scenic;Gasolina;Manual;Usado;07/2013;46358;132.0;9990.0
Ford;C-Max;Gasolina;Manual;Usado;02/2014;92707;150.0;9990.0
Fiat;500;Gasolina;Manual;Usado;02/2014;52209;120.0;9990.0
Ford;B-Max;Gasolina;Manual;Usado;12/2016;48148;101.0;9990.0
Nissan;Micra;Gasolina;Manual;Usado;12/2015;89174;80.0;6950.0
Volkswagen;up!;Gasolina;Manual;Usado;12/2015;35200;75.0;6950.0
Volkswagen;up!;Gasolina;Manual;Usado;08/2015;42386;75.0;6975.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;19896;69.0;6980.0
Volkswagen;up!;Gasolina;Manual;Usado;03/2017;72856;60.0;6983.0
Volkswagen;Polo;Gasolina;Manual;Usado;01/2013;60000;60.0;6985.0
Opel;Corsa;Gasolina;Manual;Usado;05/2017;44588;69.0;6990.0
Hyundai;i10;Gasolina;Manual;Usado;01/2015;54855;67.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;34011;69.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;01/2017;42000;60.0;6990.0
Toyota;Aygo;Gasolina;Manual;Usado;10/2014;34037;69.0;6990.0
Hyundai;i10;Gasolina;Manual;Usado;11/2013;86700;87.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;33533;69.0;6990.0
Citroen;C3;Gasolina;Manual;Usado;06/2016;93628;82.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;27790;69.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;07/2017;30586;69.0;6990.0
Renault;Twingo;Gasolina;Manual;Usado;08/2017;49039;69.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;04/2016;17350;60.0;6990.0
SEAT;Ibiza;Gasolina;Manual;Usado;05/2013;94000;105.0;6999.0
Kia;Ceed / cee'd;Gasolina;Manual;Usado;04/2012;47750;90.0;7245.0
Opel;Corsa;Gasolina;Manual;Usado;10/2014;95323;69.0;5920.0
Opel;Corsa;Gasolina;Manual;Usado;05/2013;85900;87.0;5945.0
SEAT;Ibiza;Gasolina;Manual;Usado;05/2012;65712;69.0;5950.0
Ford;Ka/Ka+;Gasolina;Manual;Usado;03/2016;41719;69.0;5970.0
Renault;Master;Diesel;Manual;Usado;08/2010;88000;120.0;5980.0
Renault;Master;Diesel;Manual;Usado;08/2010;88000;120.0;5980.0
smart;forTwo;Gasolina;Automática;Usado;01/2013;53495;71.0;5980.0
Citroen;C1;Gasolina;Manual;Usado;03/2014;29999;68.0;5980.0
Mitsubishi;Space Star;Gasolina;Manual;Usado;06/2017;54620;71.0;5989.0
Chevrolet;Aveo;Gasolina;Manual;Usado;03/2012;77614;116.0;5990.0
Daihatsu;Materia;Gasolina;Automática;Usado;04/2010;95737;103.0;5990.0
Renault;Twingo;Gasolina;Manual;Usado;11/2014;52100;71.0;5990.0
Ford;;Gasolina;Manual;Usado;07/2014;48000;69.0;5990.0
Fiat;Punto;Gasolina;Manual;Usado;01/2015;25346;69.0;5990.0
Fiat;500;Gasolina;Manual;Usado;09/2014;90900;69.0;5990.0
smart;forTwo;Gasolina;Automática;Usado;10/2011;70000;71.0;5990.0
Kia;Rio;Gasolina;Manual;Usado;12/2014;86800;86.0;5990.0
Dacia;Lodgy;Gasolina;Manual;Usado;02/2013;31843;83.0;5990.0
Hyundai;i20;Gasolina;Manual;Usado;03/2013;56776;86.0;5990.0
Skoda;Citigo;Gasolina;Manual;Usado;08/2015;45000;75.0;5990.0
Mercedes-Benz;CLS 350;Gasolina;Automática;Usado;11/2011;86246;306.0;21770.0
Audi;A5;Gasolina;Manual;Usado;03/2016;66620;177.0;21850.0
Volkswagen;CC;Diesel;Automática;Usado;11/2018;28000;184.0;21870.0
BMW;220;Gasolina;Manual;Usado;05/2014;33996;184.0;21897.0
Audi;A5;Diesel;Automática;Usado;12/2016;46113;190.0;21900.0
BMW;218;Gasolina;Manual;Usado;05/2019;19099;136.0;21990.0
BMW;420;Diesel;Manual;Usado;06/2017;44896;190.0;22480.0
BMW;430;Gasolina;Automática;Usado;03/2017;73573;252.0;22660.0
BMW;430;Diesel;Automática;Usado;08/2015;80699;258.0;22900.0
BMW;420;Diesel;Automática;Usado;01/2016;54472;190.0;22900.0
Volkswagen;Arteon;Diesel;Automática;Usado;08/2017;47300;150.0;22910.0
SEAT;Leon;Gasolina;Automática;Usado;05/2017;71467;300.0;22950.0
Audi;S5;Gasolina;Automática;Usado;05/2010;73612;354.0;22990.0
Audi;TT;Gasolina;Automática;Usado;03/2015;72603;230.0;22990.0
BMW;420;Diesel;Automática;Usado;07/2015;55656;190.0;22995.0
BMW;218;Gasolina;Manual;Nuevo;09/2020;100;140.0;23570.0
Mercedes-Benz;CLA 200;Diesel;Manual;Usado;04/2018;47400;136.0;23699.0
Mitsubishi;ASX;Gasolina;Manual;Usado;04/2014;52530;117.0;10950.0
Dacia;Duster;Diesel;Manual;Usado;06/2016;72000;109.0;10970.0
Hyundai;iX35;Gasolina;Manual;Usado;10/2014;45782;135.0;10980.0
Opel;Mokka;Diesel;Manual;Usado;08/2015;85230;136.0;10980.0
Renault;Captur;Gasolina;Manual;Usado;02/2018;16989;90.0;10990.0
Chevrolet;Trax;Gasolina;Manual;Usado;10/2013;37850;140.0;10990.0
Fiat;500X;Gasolina;Manual;Usado;04/2016;83000;140.0;10990.0
Renault;Captur;Gasolina;Manual;Usado;04/2016;32180;90.0;10990.0
Peugeot;2008;Gasolina;Manual;Usado;05/2017;46097;82.0;10990.0
Peugeot;2008;Gasolina;Manual;Usado;04/2016;65360;110.0;10990.0
Nissan;Juke;Gasolina;Manual;Usado;04/2017;62500;116.0;10999.0
Ford;Kuga;Diesel;Manual;Usado;08/2012;99000;140.0;10999.0
Skoda;Yeti;Diesel;Automática;Usado;10/2014;79000;105.0;10999.0
Peugeot;2008;Gasolina;Manual;Usado;05/2018;19286;82.0;11190.0
Renault;Captur;Gasolina;Automática;Usado;09/2014;55000;120.0;11230.0
Dacia;Sandero;Gasolina;Manual;Nuevo;09/2020;100;101.0;11344.0
Opel;Mokka;Diesel;Manual;Usado;07/2016;77200;110.0;11350.0
BMW;X1;Gasolina;Automática;Usado;10/2012;54218;150.0;11390.0
Volkswagen;Tiguan;Gasolina;Manual;Usado;07/2012;81298;160.0;11435.0
BMW;X1;Gasolina;Manual;Usado;10/2010;73649;150.0;11450.0
Renault;Clio;Diesel;Manual;Usado;04/2018;47132;90.0;9979.0
Renault;Clio;Diesel;Manual;Usado;03/2018;38287;90.0;9979.0
Renault;Clio;Diesel;Manual;Usado;04/2018;26385;90.0;9979.0
Opel;Astra;Diesel;Manual;Usado;04/2017;94084;110.0;9980.0
Opel;Astra;Gasolina;Manual;Usado;06/2014;69003;120.0;9988.0
Ford;Focus;Gasolina;Manual;Usado;11/2014;65649;125.0;9990.0
Opel;Astra;Gasolina;Manual;Usado;08/2015;65600;140.0;9990.0
Ford;C-Max;Gasolina;Manual;Usado;03/2015;94200;125.0;9990.0
Volkswagen;Golf Variant;Diesel;Manual;Usado;03/2015;91900;110.0;9990.0
Hyundai;i30;Gasolina;Manual;Usado;03/2015;61786;99.0;9990.0
Ford;Focus;Gasolina;Manual;Usado;08/2014;70500;125.0;9990.0
Skoda;Octavia;Diesel;Manual;Usado;10/2012;91200;140.0;9990.0
Audi;A3;Gasolina;Automática;Usado;03/2010;86989;125.0;9990.0
Ford;Focus;Gasolina;Manual;Usado;05/2014;63396;101.0;9990.0
Volkswagen;Golf;Gasolina;Automática;Usado;11/2012;84300;122.0;9995.0
Opel;Insignia;Diesel;Manual;Usado;05/2011;98032;160.0;9999.0
Dacia;Logan;Gasolina;Manual;Nuevo;09/2020;100;73.0;10190.0
Skoda;Fabia;Gasolina;Manual;Usado;09/2015;60838;90.0;10290.0
Opel;Astra;Gasolina;Manual;Usado;02/2016;44600;116.0;10290.0
Skoda;Fabia;Gasolina;Manual;Nuevo;09/2020;1;95.0;10295.0
Citroen;C1;Gasolina;Manual;Usado;07/2017;20000;69.0;6990.0
Renault;ZOE;Gasolina;Manual;Usado;05/2016;60658;58.0;6990.0
Skoda;Citigo;Gasolina;Manual;Usado;02/2016;33630;60.0;6990.0
Renault;Clio;Gasolina;Automática;Usado;09/2010;69400;79.0;6990.0
Hyundai;i20;Gasolina;Manual;Usado;11/2014;39200;84.0;6990.0
BMW;116;Gasolina;Manual;Usado;11/2010;90000;122.0;6999.0
Hyundai;iX20;Gasolina;Manual;Usado;06/2013;92850;90.0;6999.0
smart;forFour;Gasolina;Manual;Usado;04/2015;77197;90.0;6999.0
Toyota;Auris;Diesel;Manual;Usado;05/2010;50600;90.0;6999.0
Peugeot;208;Gasolina;Manual;Usado;01/2013;94000;120.0;6999.0
Skoda;Octavia;Gasolina;Manual;Usado;09/2010;99950;105.0;7189.0
Hyundai;i30;Gasolina;Manual;Usado;10/2014;59387;99.0;7290.0
Opel;Corsa;Gasolina;Manual;Usado;04/2018;46163;90.0;7390.0
Opel;Astra;Gasolina;Manual;Usado;06/2011;78000;120.0;7390.0
SEAT;Ibiza;Gasolina;Manual;Usado;09/2013;14455;86.0;7430.0
Opel;Corsa;Diesel;Manual;Usado;01/2017;95685;75.0;7445.0
Volvo;C30;Diesel;Manual;Usado;08/2012;88700;114.0;7450.0
Renault;Clio;Gasolina;Manual;Usado;01/2014;73691;73.0;7450.0
DS;Automobiles DS 3;Gasolina;Manual;Usado;03/2016;67000;82.0;7450.0
Hyundai;i10;Gasolina;Manual;Usado;06/2015;34595;87.0;7470.0
Ford;B-Max;Gasolina;Automática;Usado;03/2013;66672;105.0;10980.0
Opel;Combo;Gasolina;Manual;Usado;04/2018;49878;95.0;10981.0
Ford;B-Max;Gasolina;Manual;Usado;08/2017;43768;90.0;10990.0
Ford;B-Max;Gasolina;Manual;Usado;06/2016;71301;125.0;11390.0
Citroen;Berlingo;Diesel;Manual;Usado;12/2016;72600;120.0;11480.0
Dacia;Lodgy;Gasolina;Manual;Usado;09/2017;47900;116.0;11490.0
Ford;C-Max;Diesel;Manual;Usado;09/2015;95000;150.0;11490.0
Citroen;Grand C4 Picasso;Diesel;Manual;Usado;06/2016;82969;120.0;11490.0
Ford;C-Max;Gasolina;Manual;Usado;06/2016;65590;125.0;11550.0
Citroen;Berlingo;Gasolina;Manual;Usado;10/2015;62470;120.0;11780.0
Ford;C-Max;Gasolina;Manual;Usado;07/2017;28156;101.0;11850.0
Opel;Vivaro;Diesel;Manual;Usado;12/2015;90779;90.0;11890.0
Opel;Zafira Tourer;Diesel;Manual;Usado;06/2016;62387;136.0;11890.0
Ford;Transit Courier;Gasolina;Manual;Usado;06/2018;29549;101.0;11970.0
Kia;Carens;Gasolina;Manual;Usado;09/2015;60624;135.0;11979.0
Volkswagen;Caddy;Diesel;Manual;Usado;04/2017;43650;102.0;11979.0
Opel;Zafira;Gasolina;Manual;Usado;04/2017;88204;120.0;11980.0
